naslov,avtor,ocena_raw,povezava
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 7,072,620 ratings",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
1984,George Orwell,"4.20 avg rating — 5,696,598 ratings",https://www.goodreads.com/book/show/5470.1984
Pride and Prejudice,Jane Austen,"4.30 avg rating — 4,966,466 ratings",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 11,722,414 ratings",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 6,094,371 ratings",https://www.goodreads.com/book/show/4671.The_Great_Gatsby
Jane Eyre,Charlotte Brontë,"4.16 avg rating — 2,394,811 ratings",https://www.goodreads.com/book/show/10210.Jane_Eyre
Lord of the Flies,William Golding,"3.70 avg rating — 3,291,176 ratings",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 620,774 ratings",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,"4.55 avg rating — 745,446 ratings",https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"4.30 avg rating — 4,591,504 ratings",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Animal Farm,George Orwell,"4.03 avg rating — 4,757,887 ratings",https://www.goodreads.com/book/show/7613.Animal_Farm
Brave New World,Aldous Huxley,"3.98 avg rating — 2,136,376 ratings",https://www.goodreads.com/book/show/5129.Brave_New_World
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,955,981 ratings",https://www.goodreads.com/book/show/17470674-fahrenheit-451
Wuthering Heights,Emily Brontë,"3.89 avg rating — 2,267,909 ratings",https://www.goodreads.com/book/show/6185.Wuthering_Heights
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.22 avg rating — 2,063,373 ratings",https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
The Little Prince,Antoine de Saint-Exupéry,"4.34 avg rating — 2,576,190 ratings",https://www.goodreads.com/book/show/157993.The_Little_Prince
Crime and Punishment,Fyodor Dostoevsky,"4.29 avg rating — 1,139,380 ratings",https://www.goodreads.com/book/show/7144.Crime_and_Punishment
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,974,093 ratings",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood(Goodreads Author),"4.16 avg rating — 2,531,943 ratings",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,985,764 ratings",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,"3.83 avg rating — 1,350,113 ratings",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.28 avg rating — 720,046 ratings",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Count of Monte Cristo,Alexandre Dumas,"4.33 avg rating — 1,069,089 ratings",https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Great Expectations,Charles Dickens,"3.80 avg rating — 890,623 ratings",https://www.goodreads.com/book/show/2623.Great_Expectations
"Little Women (Little Women, #1)",Louisa May Alcott,"4.18 avg rating — 2,525,184 ratings",https://www.goodreads.com/book/show/1934.Little_Women
Frankenstein,Mary Wollstonecraft Shelley,"3.92 avg rating — 1,980,570 ratings",https://www.goodreads.com/book/show/18490.Frankenstein
The Grapes of Wrath,John Steinbeck,"4.03 avg rating — 1,019,677 ratings",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,268,517 ratings",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 792,572 ratings",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"3.89 avg rating — 1,626,111 ratings",https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
Of Mice and Men,John Steinbeck,"3.90 avg rating — 2,924,955 ratings",https://www.goodreads.com/book/show/890.Of_Mice_and_Men
Anna Karenina,Leo Tolstoy,"4.11 avg rating — 959,672 ratings",https://www.goodreads.com/book/show/15823480-anna-karenina
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,360,867 ratings",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
Catch-22,Joseph Heller,"3.99 avg rating — 900,857 ratings",https://www.goodreads.com/book/show/168668.Catch_22
Sense and Sensibility,Jane Austen,"4.09 avg rating — 1,328,196 ratings",https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
Lolita,Vladimir Nabokov,"3.87 avg rating — 971,593 ratings",https://www.goodreads.com/book/show/7604.Lolita
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,139,156 ratings",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
Rebecca,Daphne du Maurier,"4.25 avg rating — 755,169 ratings",https://www.goodreads.com/book/show/17899948-rebecca
The Name of the Rose,Umberto Eco,"4.14 avg rating — 404,428 ratings",https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose
Madame Bovary,Gustave Flaubert,"3.71 avg rating — 386,572 ratings",https://www.goodreads.com/book/show/2175.Madame_Bovary
And Then There Were None,Agatha Christie,"4.27 avg rating — 1,689,647 ratings",https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
The Master and Margarita,Mikhail Bulgakov,"4.28 avg rating — 442,827 ratings",https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
"Dune (Dune, #1)",Frank Herbert,"4.29 avg rating — 1,690,248 ratings",https://www.goodreads.com/book/show/234225.Dune
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,517,713 ratings",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
A Tale of Two Cities,Charles Dickens,"3.88 avg rating — 1,029,618 ratings",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Don Quixote,Miguel de Cervantes Saavedra,"3.91 avg rating — 312,863 ratings",https://www.goodreads.com/book/show/3836.Don_Quixote
"The Godfather (The Godfather, #1)",Mario Puzo,"4.40 avg rating — 475,482 ratings",https://www.goodreads.com/book/show/22034.The_Godfather
A Clockwork Orange,Anthony Burgess,"really liked it4.00 avg rating — 788,020 ratings",https://www.goodreads.com/book/show/227463.A_Clockwork_Orange
War and Peace,Leo Tolstoy,"4.17 avg rating — 375,379 ratings",https://www.goodreads.com/book/show/656.War_and_Peace
The Trial,Franz Kafka,"3.93 avg rating — 415,829 ratings",https://www.goodreads.com/book/show/17690.The_Trial
Emma,Jane Austen,"4.05 avg rating — 1,014,530 ratings",https://www.goodreads.com/book/show/6969.Emma
The Remains of the Day,Kazuo Ishiguro(Goodreads Author),"4.14 avg rating — 380,069 ratings",https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"4.13 avg rating — 400,279 ratings",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
The Scarlet Letter,Nathaniel Hawthorne,"3.44 avg rating — 937,516 ratings",https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"3.98 avg rating — 128,154 ratings",https://www.goodreads.com/book/show/17125.One_Day_in_the_Life_of_Ivan_Denisovich
Gulliver’s Travels,Jonathan Swift,"3.59 avg rating — 303,880 ratings",https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
"The Color Purple (The Color Purple, #1)",Alice Walker,"4.28 avg rating — 768,822 ratings",https://www.goodreads.com/book/show/11486.The_Color_Purple
Candide,Voltaire,"3.76 avg rating — 308,454 ratings",https://www.goodreads.com/book/show/385059.Candide
The Time Traveler's Wife,Audrey Niffenegger(Goodreads Author),"really liked it4.00 avg rating — 1,874,192 ratings",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Bell Jar,Sylvia Plath,"4.04 avg rating — 1,293,071 ratings",https://www.goodreads.com/book/show/839102.Bell_Jar
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 559,113 ratings",https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera
The Kite Runner,Khaled Hosseini(Goodreads Author),"4.36 avg rating — 3,584,507 ratings",https://www.goodreads.com/book/show/77203.The_Kite_Runner
The Stranger,Albert Camus,"4.03 avg rating — 1,495,683 ratings",https://www.goodreads.com/book/show/49552.The_Stranger
The Unbearable Lightness of Being,Milan Kundera,"4.10 avg rating — 562,825 ratings",https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being
Alice in Wonderland,Jane Carruth(Adapted By),"4.03 avg rating — 397,753 ratings",https://www.goodreads.com/book/show/13023.Alice_in_Wonderland
The Adventures of Tom Sawyer,Mark Twain,"3.92 avg rating — 1,039,784 ratings",https://www.goodreads.com/book/show/1183375.The_Adventures_of_Tom_Sawyer
Perfume: The Story of a Murderer,Patrick Süskind,"4.04 avg rating — 578,446 ratings",https://www.goodreads.com/book/show/343.Perfume
Mrs. Dalloway,Virginia Woolf,"3.77 avg rating — 370,988 ratings",https://www.goodreads.com/book/show/14942.Mrs_Dalloway
The Brothers Karamazov,Fyodor Dostoevsky,"4.40 avg rating — 408,701 ratings",https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
The Wind in the Willows,Kenneth Grahame,"4.02 avg rating — 246,807 ratings",https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
Atonement,Ian McEwan(Goodreads Author),"3.96 avg rating — 575,267 ratings",https://www.goodreads.com/book/show/6867.Atonement
"The Shining (The Shining, #1)",Stephen  King(Goodreads Author),"4.28 avg rating — 1,755,270 ratings",https://www.goodreads.com/book/show/11588.The_Shining
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"3.83 avg rating — 690,142 ratings",https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
Robinson Crusoe,Daniel Defoe,"3.68 avg rating — 337,276 ratings",https://www.goodreads.com/book/show/2932.Robinson_Crusoe
All Quiet on the Western Front,Erich Maria Remarque,"4.12 avg rating — 536,123 ratings",https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
The Road,Cormac McCarthy,"really liked it4.00 avg rating — 1,077,354 ratings",https://www.goodreads.com/book/show/6288.The_Road
