avtor,naslov,ocena_cista
A.G. Macdonell,1,3.67
A.L. Kennedy,1,3.41
A.S. Byatt,2,3.81
Agatha Christie,5,4.082
Ahdaf Soueif,1,3.81
Ahn Junghyo,1,3.79
Alain-Fournier,1,3.72
Alain-René Le Sage,1,3.82
Alan Bennett,1,3.73
Alan Garner,1,3.61
Alan Hollinghurst,2,3.745
Alan Paton,1,3.93
Alan Sillitoe,1,3.8
Alan Warner,1,3.69
Alasdair Gray,1,4.1
Alastair Reynolds,1,3.99
Albert Camus,3,4.023333333333333
Alberto Moravia,1,3.73
Aldous Huxley,2,3.7
Alejo Carpentier,1,3.78
Aleksandr Solzhenitsyn,1,3.98
Alessandro Manzoni,1,3.89
Alex Garland,1,4.0
Alexandre Dumas,2,4.215
Alfred Bester,1,4.05
Alfred Döblin,1,3.84
Algis Budrys,1,3.47
Alice Munro,1,3.89
Alice Walker,1,4.28
Alison Bechdel(Goodreads Author),1,4.07
Alison Lurie,1,3.76
Alistair MacLean,1,4.14
Amanda Cross,1,3.71
Amin Maalouf(Goodreads Author),1,4.24
Anaïs Nin,1,3.6
Andrew  Miller,1,3.72
Andrew O'Hagan,1,3.51
Andrey Kurkov,1,3.77
André Brink,1,4.07
André Gide,4,3.6375
André Malraux,1,3.74
Angela Carter,3,3.81
Angela Thirkell,1,3.95
Angus Wilson,2,3.525
Anita Brookner,1,3.95
Anita Loos,1,3.6
Ann Radcliffe,1,3.43
Anna Sewell,1,4.01
Anne Enright,1,3.15
Anne Tyler(Goodreads Author),2,3.7750000000000004
Annie Proulx,1,3.88
Anthony  Powell,5,4.046
Anthony Berkeley,1,3.78
Anthony Burgess,3,3.9766666666666666
Anthony Hope,1,3.83
Anthony Trollope,3,4.12
Antoine François Prévost d'Exiles,1,3.3
Antoine de Saint-Exupéry,1,4.34
Antonia White,1,3.84
Aphra Behn,1,3.01
Armistead Maupin,1,3.99
Arnaldur Indriðason,1,3.96
Arnold Bennett,2,3.925
Art Spiegelman,1,4.58
Arthur C. Clarke,1,4.12
Arthur Conan Doyle,3,4.046666666666667
Arthur Golden,1,4.16
Arthur Koestler,1,4.12
Arundhati Roy(Goodreads Author),1,3.96
Audre Lorde,1,4.4
Audrey Niffenegger(Goodreads Author),1,4.0
August Strindberg,1,3.24
B.S. Johnson,1,3.86
Barbara Pym,2,3.915
Barbara Vine,2,3.835
Barbara Vine(Pseudonym),1,3.93
Barry Hines,1,4.08
Ben Okri,1,3.73
Benjamin Disraeli,1,3.3
Bernard Cornwell(Goodreads Author),1,4.3
Bernard Malamud,1,3.9
Bernhard Schlink,1,3.79
Beryl Bainbridge,2,3.44
Betty  Smith,1,4.3
Bohumil Hrabal,1,4.05
Booth Tarkington,2,3.855
Boris Pasternak,1,4.01
Bram Stoker,1,4.03
Bret Easton Ellis,1,3.8
Brian Moore,1,3.98
Brian W. Aldiss,1,3.88
Bảo Ninh,1,4.08
C.J. Sansom,1,4.06
C.S. Forester,2,4.04
C.S. Lewis,1,4.28
Carl Hiaasen(Goodreads Author),1,3.91
Carol Shields,1,3.63
Carson McCullers,2,3.9000000000000004
Caryl Brahms,1,3.8
Cees Nooteboom,1,3.7
Cesare Pavese,1,3.78
Chaim Potok,1,4.24
Charles Brockden Brown,1,3.17
Charles Dickens,9,3.863333333333333
Charles Frazier,1,3.89
Charles Robert Maturin,1,3.72
Charles Simmons,1,3.74
Charles Webb,1,3.34
Charlotte Brontë,3,3.8966666666666665
Charlotte Perkins Gilman,1,3.48
Chester Himes,1,3.89
China Miéville(Goodreads Author),1,4.19
Chinua Achebe,2,3.8
Chris Orlet(Goodreads Author),1,4.8
Chris Ware,1,4.08
Christina Stead,1,3.56
Christopher Isherwood,2,3.84
Christopher Priest,1,3.92
Chuck Palahniuk(Goodreads Author),1,4.18
Clive Barker(Goodreads Author),1,4.13
Colette,3,3.7533333333333334
Colin Dexter,2,4.03
Colin MacInnes,1,3.61
Colleen McCullough,1,4.25
Colm Tóibín,1,3.96
Compton Mackenzie,1,3.79
Cora Sandel,1,3.94
Cormac McCarthy,4,4.095
D.H. Lawrence,4,3.625
Dacia Maraini,1,3.67
Dan Simmons,1,4.28
Daniel Defoe,3,3.5366666666666666
Daniel Keyes,1,4.25
Daphne du Maurier,3,3.9933333333333336
Dashiell Hammett,4,3.9025
David  Lindsay,1,3.53
David  Mitchell,1,4.01
David B.,1,3.89
David Foster Wallace,1,4.25
David Lodge,2,3.84
David Madsen,1,3.67
David Malouf,1,3.48
David Peace,3,3.736666666666667
David Storey,1,3.59
Dawn Powell,1,3.96
Denis Diderot,1,3.79
Djuna Barnes,1,3.6
Dodie Smith,1,3.98
Don DeLillo,2,3.9050000000000002
Donna Tartt,1,4.15
Doris Lessing,3,3.7266666666666666
Dorothy L. Sayers,2,3.99
Dorothy M. Richardson,1,3.39
Douglas Adams,1,4.22
Douglas Coupland(Goodreads Author),2,3.755
E. Phillips Oppenheim,2,3.715
E.C. Bentley,1,3.76
E.F.  Benson,1,3.91
E.L. Doctorow,1,3.86
E.M. Delafield,1,3.9
E.M. Forster,3,3.8433333333333337
Ed McBain,1,3.83
Edgar Rice Burroughs,1,3.81
Edgar Wallace,1,3.55
Edith Wharton,2,3.975
Edmund Crispin,1,3.5
Edward Bulwer-Lytton,1,3.24
Elfriede Jelinek,1,3.62
Elias Canetti,1,4.01
Elizabeth  Smart,1,3.45
Elizabeth Bowen,3,3.486666666666667
Elizabeth Gaskell,4,3.9000000000000004
Elizabeth Taylor,1,3.9
Elmore Leonard,2,3.955
Elsa Morante,2,4.17
Emerson Littlefield(Goodreads Author),2,4.94
Emily Brontë,1,3.89
Emmuska Orczy,1,4.07
Eric Ambler,3,3.9133333333333336
Eric Hodgins,1,3.74
Erich Maria Remarque,1,4.12
Erich Segal,1,3.66
Ernest Hemingway,3,3.8733333333333335
Erskine Caldwell,1,3.7
Erskine Childers,1,3.63
Esther Freud,1,3.53
Evelyn Waugh,8,3.78875
Eça de Queirós,1,4.16
F. Scott Fitzgerald,2,3.85
F.M. Mayor,1,3.73
Fay Weldon,1,3.76
Flann O'Brien,2,3.9
Flora Thompson,1,4.02
Ford Madox Ford,2,3.765
Frances Burney,1,3.71
Francis Coventry,1,2.91
Francis Iles,1,3.93
Frank Herbert,1,4.29
Frank Norris,1,3.68
Franz Clemens Brentano,1,3.61
Franz Kafka,2,3.92
François Rabelais,1,3.65
Françoise Sagan,1,3.74
Frederick Forsyth,1,4.27
Frederick Marryat,1,3.89
Frederik Pohl,1,3.83
Friedrich Dürrenmatt,1,3.9
Fyodor Dostoevsky,5,4.25
G.K. Chesterton,1,3.82
Gabriel García Márquez,2,4.03
Garrison Keillor,1,3.64
Gene Wolfe,1,4.25
Gentry Thomason,1,5.0
Geoff Ryman,1,3.58
Geoffrey Household,1,3.92
Geoffrey Willans,1,4.27
George Barr McCutcheon,1,3.65
George Eliot,5,3.8579999999999997
George Gissing,2,3.8200000000000003
George Grossmith,1,3.68
George MacDonald Fraser,1,4.06
George Meredith,2,3.59
George Orwell,3,4.033333333333334
George P. Pelecanos,2,4.005
George V. Higgins,1,4.04
Georges Perec,3,3.7866666666666666
Georges Simenon,2,3.785
Georgette Heyer,2,3.8600000000000003
Gerald Durrell,1,4.16
Gerard Woodward(Goodreads Author),1,3.75
Giorgio Bassani,1,3.77
Giovannino Guareschi,1,4.22
Giuseppe Tomasi di Lampedusa,1,4.01
Gore Vidal,1,3.45
Graham Greene,8,3.8137499999999998
Graham Swift,1,3.89
Greg Bear,1,3.73
Gustave Flaubert,3,3.78
Guy de Maupassant,1,3.87
Gwyneth Jones,1,3.37
Günter Grass,1,3.95
H. Rider Haggard,2,3.675
H.E. Bates,2,3.96
H.G. Wells,5,3.7039999999999997
Hanif Kureishi,1,3.75
Harper Lee,1,4.26
Harriet Beecher Stowe,1,3.92
Harry Kemelman,1,3.88
Haruki Murakami,2,4.06
Helen Fielding(Goodreads Author),1,3.81
Henning Mankell,1,4.08
Henry Fielding,3,3.4333333333333336
Henry Green,1,3.67
Henry Handel Richardson,1,4.17
Henry Howarth Bashford,1,3.8
Henry James,5,3.66
Henry Miller,1,3.65
Henry Roth,1,3.8
Hergé,3,4.1066666666666665
Herman Melville,1,3.57
Herman Wouk,1,4.3
Hermann Broch,1,4.15
Hermann Hesse,3,4.1499999999999995
Hilary Mantel,1,3.43
"Holt, Rinehart and Winston, Inc.(Editor)",1,3.71
Honoré de Balzac,4,4.02
Horace Walpole,1,3.19
Howard Jacobson,1,3.49
Hubert Selby Jr.,1,3.96
Iain Banks,2,3.925
Iain M. Banks,1,3.85
Ian Fleming,3,3.77
Ian McEwan(Goodreads Author),3,3.73
Ian Rankin(Goodreads Author),3,4.103333333333333
Iris Murdoch,2,3.87
Irvine Welsh,1,4.12
Irwin Shaw,1,4.25
Irène Némirovsky,1,3.86
Isaac Asimov,1,4.17
Isaac Bashevis Singer,2,4.1000000000000005
Isabel Miller,1,3.92
Ismail Kadare,1,4.08
Italo Calvino,3,4.04
Italo Svevo,1,3.77
Ivan Goncharov,1,4.14
Ivan Turgenev,2,3.8899999999999997
Ivy Compton-Burnett,1,3.43
J. Sheridan Le Fanu,1,3.74
J.B. Priestley,1,4.13
J.D. Salinger,1,3.8
J.G. Ballard,4,3.62
J.G. Farrell,1,3.93
J.K. Rowling,1,4.47
J.L. Carr,3,3.9633333333333334
J.M. Barrie,1,4.03
J.M. Coetzee,2,3.895
J.P. Donleavy,1,3.72
J.R.R. Tolkien,2,4.425
Jack Kerouac,1,3.61
Jack London,2,4.2
Jacqueline Susann,1,3.87
Jakub Lasak(Goodreads Author),1,4.45
James  Jones,1,4.08
James A. Michener,1,4.04
James Baldwin,2,4.199999999999999
James Dickey,1,3.89
James Ellroy,3,4.026666666666666
James Hadley Chase,1,3.77
James Hogg,1,3.67
James Hynes,1,3.48
James Joyce,3,3.6966666666666668
James Kelman,1,3.6
James Lee Burke,2,4.045
James M. Cain,2,3.905
James Salter,3,3.92
Jane Austen,6,4.05
Jane Bowles,1,3.57
Jane Carruth(Adapted By),1,4.03
Jane Smiley(Goodreads Author),2,3.6500000000000004
Jaroslav Hašek,1,4.09
Javier Marías,1,4.02
Jay McInerney(Goodreads Author),1,3.81
Jean Cocteau,1,3.7
Jean Rhys,1,3.59
Jeanette Winterson,2,3.92
Jed Mercurio,1,3.78
Jeff Noon,1,4.04
Jeffrey Eugenides,2,3.91
Jerome K. Jerome,1,3.83
Jim Crace,2,3.7
Jim Thompson,1,3.85
Joan Didion,1,3.9
Joanna Russ,1,3.46
Joe Haldeman,1,4.14
Johann David Wyss,1,3.91
Johann Wolfgang von Goethe,1,3.7
John  Harris,1,4.57
John Berger,1,3.72
John Braine,1,3.69
John Buchan,2,3.66
John Cheever,1,3.75
John Cowper Powys,1,4.23
John Dickson Carr,1,3.75
John Dos Passos,2,3.835
John Fowles,2,3.965
John Galsworthy,1,4.0
John Grisham(Goodreads Author),2,3.925
John Irving(Goodreads Author),1,4.24
John Kennedy Toole,1,3.89
John Lanchester,1,3.74
John McGahern,1,3.96
John Mortimer,2,3.42
John Steinbeck,3,4.126666666666667
John Updike,5,3.6399999999999997
John Wyndham,2,3.955
John le Carré,3,3.9933333333333336
Johnston McCulley,1,4.0
Jonathan Coe(Goodreads Author),1,4.11
Jonathan Franzen,1,3.85
Jonathan Lethem,1,3.86
Jonathan Safran Foer(Goodreads Author),1,3.89
Jonathan Swift,2,3.5149999999999997
Joseph Conrad,6,3.6633333333333336
Joseph Heller,1,3.99
Joseph Roth,1,4.11
Josephine Tey,1,3.89
José Saramago,1,4.18
Joyce Cary,2,3.72
João Guimarães Rosa,1,4.62
Jules Verne,2,3.9000000000000004
Julian Barnes,2,3.76
Julian Maclaren-Ross,1,4.0
Julie Doucet,1,3.83
Jun'ichirō Tanizaki,1,3.45
Kate Atkinson,1,3.98
Kate Chopin,1,3.69
Kazuo Ishiguro(Goodreads Author),2,3.8649999999999998
Keith Waterhouse,1,3.71
Ken Kesey,1,4.2
Ken MacLeod,1,3.56
Kenneth Grahame,1,4.02
Kenzaburō Ōe,1,3.84
Khaled Hosseini(Goodreads Author),2,4.41
Kilgore Trout(Pseudonym),1,3.75
Kim Stanley Robinson,1,3.77
Kingsley Amis,1,3.74
Knut Hamsun,1,4.03
Kurban Said,1,3.92
Kurt Vonnegut Jr.,3,4.103333333333333
Kōbō Abe,1,3.73
L.P. Hartley,2,3.9099999999999997
Lao She,1,3.92
Larry McMurtry,1,4.6
Larry Niven,1,3.93
Laurence Sterne,2,3.51
Laurie Lee,1,3.91
Lawrence Durrell,1,3.84
Len Deighton,2,4.05
